id;question;option_a;option_b;option_c;option_d;answer_letter;;
1;¿Qué significan las palabras griegas de las que deriva el término ecología?;casa y estudio;vida y ciencia;ambiente y tratado;naturaleza y conocimiento;A;;
2;¿Cuál es el nivel de organización ecológica que estudia las adaptaciones morfológicas y fisiológicas?;Población;Organismo;Comunidad;Ecosistema;B;;
3;¿Qué características de las poblaciones se estudian en ecología?;Solo el tamaño poblacional;Tamaño, densidad y estructura etaria;Únicamente la densidad;Solo la estructura sexual;B;;
4;¿Qué se estudia principalmente a nivel de ecosistema?;Las adaptaciones individuales;Los flujos de energía y ciclos de nutrientes;Solo las interacciones entre especies;Únicamente los factores abióticos;B;;
5;¿Qué nivel de organización ecológica corresponde al planeta Tierra visto como sistema ecológico?;Ecosistema;Bioma;Comunidad;Biosfera;D;;
6;¿Qué rama de la ecología estudia al individuo en relación a su medio ambiente?;Sinecología;Autoecología;Ecología de poblaciones;Ecología de comunidades;B;;
7;¿Qué estudia la sinecología?;Solo individuos aislados;Las relaciones entre poblaciones y comunidades con su entorno;Únicamente factores abióticos;Solo adaptaciones morfológicas;B;;
8;¿Qué incluye el concepto de hábitat según el texto?;Solo el espacio físico;Factores bióticos y abióticos que apoyan a una especie;Únicamente la función ecológica;Solo las asociaciones vegetales;B;;
9;¿Qué aspectos se deben conocer para comprender el nicho ecológico de un organismo?;Solo el tipo de alimentación;Alimentación, actividades, fuente de energía e influencia en otros organismos;Únicamente la fuente de energía;Solo las actividades que realiza;B;;
10;¿Cuál es un ejemplo de nicho ecológico mencionado en el texto?;La migración de las aves;La polinización que realizan las abejas;El territorio de los leones;El nado de los peces;B;;
11;¿Qué tipo de competencia ocurre entre individuos de la misma especie?;Interespecífica;Parasitismo;Intraespecífica;Mutualismo;C;;
12;¿Cómo afecta la competencia a las especies involucradas?;Beneficia a ambas;Es negativa para ambas;Beneficia a una y perjudica a otra;No tiene efecto;B;;
13;¿Qué caracteriza a la interacción de depredación?;Ambas especies se benefician;El depredador se beneficia y la presa es perjudicada;Ambas especies son perjudicadas;Ninguna especie se ve afectada;B;;
14;¿Qué tipo de depredador consume tanto animales como plantas?;Carnívoro;Herbívoro;Omnívoro;Parásito;C;;
15;¿Qué término se refiere a una interacción donde dos organismos de distintas especies viven juntos en contacto directo?;Competencia;Depredación;Simbiosis;Comensalismo exclusivamente;C;;
16;¿En qué tipo de mutualismo las relaciones son íntimas, estables y obligadas?;Mutualismo facultativo;Mutualismo variable;Mutualismo simbiótico;Mutualismo temporal;C;;
17;¿Qué caracteriza al comensalismo?;Ambas especies se benefician;Una especie se beneficia y la otra no es afectada;Una especie se beneficia y la otra es perjudicada;Ambas especies son perjudicadas;B;;
18;¿Cómo se llaman los parásitos que viven dentro del huésped?;Ectoparásitos;Endoparásitos;Simbiontes;Comensales;B;;
19;¿Qué es una población desde el punto de vista ecológico?;Grupo de especies diferentes en un área;Grupo de individuos de la misma especie en un área definida;Conjunto de ecosistemas;Todos los organismos del planeta;B;;
20;¿Qué aspectos estudia la ecología de poblaciones en cuanto a estructura?;Solo el tamaño poblacional;Tamaño, densidad y estructura de edades y sexos;Únicamente la dinámica temporal;Solo las interacciones con otras especies;B;;
21;¿Qué es una comunidad en ecología?;Grupo de individuos de una especie;Conjunto de poblaciones de diferentes especies en un área;Solo los factores abióticos;Un ecosistema completo;B;;
22;¿Qué fenómenos estudia la ecología de comunidades?;Solo las adaptaciones individuales;Distribución espacial, temporal y ramas tróficas;Únicamente el clima;Solo los ciclos biogeoquímicos;B;;
23;¿Qué es el biotopo en un ecosistema?;La comunidad de organismos;Los elementos físicos del ambiente no vivo;Solo los factores climáticos;Únicamente los organismos vivos;B;;
24;¿Qué es la biocenosis en un ecosistema?;Los factores abióticos;La comunidad de organismos vivos;Solo el suelo;Los elementos físicos;B;;
25;¿Cuántos eslabones tiene como máximo una cadena alimenticia típica?;Dos o tres;Tres o cuatro;Cuatro o cinco;Seis o siete;C;;
26;¿Qué representa una red trófica?;Una sola cadena alimenticia;Muchas cadenas alimenticias interconectadas;Solo los productores;Únicamente los consumidores;B;;
27;¿Dónde se encuentra la mayor biomasa en una pirámide ecológica?;En la cima;En el medio;En la base con los productores;Distribuida uniformemente;C;;
28;¿Qué sucede con la biomasa al moverse hacia arriba en la pirámide ecológica?;Aumenta;Disminuye;Permanece constante;Se duplica;B;;
