id;question;option_a;option_b;option_c;option_d;answer_letter
1;¿Qué filósofo sistematizó la lógica y la convirtió en una disciplina previa a toda investigación?;Parménides;Aristóteles;Platón;Zenón de Elea;B
2;¿Bajo qué título fueron reunidos los escritos lógicos de Aristóteles?;Analítica;Organon;Hermenéutica;Tópicos;B
3;"¿Qué significa el término griego ""logos""?";Verdad;Razón;Estudio, tratado o ciencia;Pensamiento;C
4;¿En qué siglo nació la lógica en Grecia?;Siglo IV a.C.;Siglo VI a.C.;Siglo V a.C.;Siglo III a.C.;C
5;¿Qué filósofo señaló a la razón como la única capaz de conocer el ser?;Heráclito;Sócrates;Parménides;Zenón de Elea;C
6;¿Qué obra publicó Francis Bacon en 1620?;Novum Organon;Analítica;Tópicos;Organon;A
7;¿Qué principio lógico formuló Parménides?;Tercero excluido;Razón suficiente;Identidad;No contradicción;C
8;¿Quién formuló el principio de razón suficiente?;Aristóteles;I. Kant;G. Leibniz;A. Schopenhauer;C
9;¿Cuál es la fórmula del principio de identidad?;A es B;A es A;A no es A;A o B;B
10;"¿Qué representa la letra ""A"" en la clasificación de juicios según cantidad y cualidad?";Juicio Universal Negativo;Juicio Particular Afirmativo;Juicio Universal Afirmativo;Juicio Particular Negativo;C
11;"¿Qué representa la letra ""E"" en la clasificación de juicios?";Juicio Particular Afirmativo;Juicio Universal Negativo;Juicio Universal Afirmativo;Juicio Particular Negativo;B
12;"¿Qué representa la letra ""I"" en la clasificación de juicios?";Juicio Universal Afirmativo;Juicio Universal Negativo;Juicio Particular Negativo;Juicio Particular Afirmativo;D
13;"¿Qué representa la letra ""O"" en la clasificación de juicios?";Juicio Particular Negativo;Juicio Universal Afirmativo;Juicio Particular Afirmativo;Juicio Universal Negativo;A
14;¿Cuántos principios lógicos supremos son aceptados universalmente por todos los lógicos?;Dos;Cuatro;Cinco;Tres;D
15;¿Qué filósofo desarrolló el principio de razón suficiente además de Leibniz?;I. Kant;F. Hegel;A. Schopenhauer;F. Bacon;C
16;¿Cuántas figuras del silogismo existen?;Tres;Cinco;Cuatro;Seis;C
17;¿Cuántos modos válidos existen dentro del silogismo?;16;19;24;64;B
18;¿Qué término del silogismo NO entra en la conclusión?;Término Mayor;Término Medio;Término Menor;Premisa Mayor;B
19;¿Con qué letra se representa el término mayor en el silogismo?;S;M;T;P;D
20;¿Con qué letra se representa el término menor en el silogismo?;P;M;S;T;C
21;¿Con qué letra se representa el término medio en el silogismo?;S;P;T;M;D
22;¿Cuántos términos debe tener un silogismo según las reglas generales?;Dos;Cuatro;Cinco;Tres;D
23;¿Qué tipo de razonamiento parte de lo universal para llegar a lo particular?;Inducción;Analogía;Deducción;Silogismo hipotético;C
24;¿Qué tipo de razonamiento parte de premisas particulares para llegar a una conclusión universal?;Deducción;Inducción;Analogía;Silogismo categórico;B
25;¿Cuáles son las dos propiedades del concepto?;Sujeto y predicado;Premisa y conclusión;Extensión y comprensión;Contenido y extensión;D
26;¿Qué parte del juicio une o desune conceptos?;Sujeto;Predicado;Término;Cópula;D
27;¿Cuántos juicios tiene necesariamente un silogismo?;Dos;Cuatro;Cinco;Tres;D
28;¿Cómo se llama el primer juicio del silogismo que contiene el término mayor?;Premisa menor;Conclusión;Inferencia;Premisa mayor;D
29;¿Qué filósofo investigó el concepto, la definición y la inducción?;Platón;Aristóteles;Parménides;Sócrates;D
30;¿En qué período se adoptó la lógica de Aristóteles poniéndola al servicio de la religión cristiana?;Renacimiento;Ilustración;Edad Media;Modernidad;C
31;¿Qué asignatura del trivium se relacionaba con la lógica del movimiento?;Retórica;Gramática;Aritmética;Dialéctica;D
32;¿Cuál fue el giro que tomó la lógica a partir del Renacimiento?;Lógica metodológica;Lógica simbólica;Lógica inductiva;Lógica formal;A
33;"¿Qué filósofo dijo ""si los dioses usaran la lógica, sería la de Crisipo""?";Aristóteles;Zenón de Citio;Diodoro de Cronos;Se atribuye a la tradición sobre Crisipo;D
34;Según Kant, ¿qué es la lógica?;La ciencia de las formas del ser;La ciencia racional de las leyes a priori del pensamiento;La ciencia de la naturaleza;La ciencia de los hechos empíricos;B
35;¿Qué lógica del siglo XIX representa una renovación de la lógica de F. Bacon?;Lógica simbólica;Lógica matemática;Lógica inductiva;Lógica dialéctica;C
36;¿Quiénes fueron representantes de la lógica inductiva del siglo XIX?;Hegel, Fichte y Schelling;Mill, Bain y Spencer;Russell, Carnap y Wittgenstein;Kant, Leibniz y Bacon;B
37;¿Qué tipo de juicio según la relación presenta el predicado con más de dos alternativas?;Categórico;Hipotético;Problemático;Disyuntivo;D
38;¿Qué tipo de juicio según la modalidad expresa una verdad de hecho?;Apodíctico;Asertórico;Problemático;Categórico;B
39;¿Qué tipo de juicio según la modalidad expresa una necesidad que no admite contradicción?;Problemático;Asertórico;Categórico;Apodíctico;D
40;¿Qué tipo de juicio según la modalidad expresa una opinión no demostrada?;Asertórico;Apodíctico;Hipotético;Problemático;D
41;¿Cuál es la forma de realidad o existencia de los juicios según el documento?;El ser;El valer;La esencia;La sustancia;B
42;¿Qué relación existe entre contenido y extensión de un concepto?;Directa;Proporcional;No existe relación;Inversa;D
43;¿Qué concepto tiene mayor extensión según el documento?;Rojo;Azul;Verde;Color;D
44;¿Cuál es la primera operación que la mente realiza antes de formar juicios?;Razonamiento;Formación de conceptos;Inferencia;Deducción;B
45;¿Qué tipo de conceptos designan seres humanos, animales, cosas y cualidades?;Conceptos relacionantes;Conceptos abstractos;Conceptos objetivos;Conceptos funcionales;C
46;¿Qué tipo de conceptos cumplen la función de conectar o relacionar dos o más conceptos?;Conceptos objetivos;Conceptos sustantivos;Conceptos adjetivos;Conceptos funcionales;D
47;En la primera figura del silogismo, ¿qué función cumple el término medio en las premisas?;Predicado en ambas;Sujeto en la mayor y predicado en la menor;Predicado en la mayor y sujeto en la menor;Sujeto en ambas;B
48;En la segunda figura del silogismo, ¿qué función cumple el término medio?;Sujeto en ambas premisas;Sujeto en la mayor y predicado en la menor;Predicado en la mayor y sujeto en la menor;Predicado en ambas premisas;D
49;En la tercera figura del silogismo, ¿qué función cumple el término medio?;Predicado en ambas premisas;Predicado en la mayor y sujeto en la menor;Sujeto en la mayor y predicado en la menor;Sujeto en ambas premisas;D
50;¿Cuántos modos válidos tiene la primera figura del silogismo?;Tres;Cinco;Seis;Cuatro;D
