id;question;option_a;option_b;option_c;option_d;answer_letter
1;¿Cuál es la forma canónica de una ecuación de segundo grado?;ax² + bx + c = 0;ax + b = 0;ax³ + bx² + c = 0;ax² + c = 0;A
2;¿Cuántas raíces o soluciones tiene toda ecuación de segundo grado?;Una raíz;Dos raíces;Tres raíces;Cuatro raíces;B
3;En una ecuación incompleta de la forma ax² + c = 0, ¿qué término carece?;Término cuadrático;Término lineal bx;Término independiente;Coeficiente a;B
4;En una ecuación incompleta de la forma ax² + bx = 0, ¿qué término carece?;Término lineal;Término independiente c;Término cuadrático;Coeficiente b;B
5;¿Cuál es la fórmula de Carnot para resolver ecuaciones de segundo grado?;x = (-b ± √(b² - 4ac))/2a;x = (-b ± √(b² + 4ac))/2a;x = (b ± √(b² - 4ac))/2a;x = (-b ± √(b² - 4ac))/a;A
6;Si el discriminante Δ > 0, ¿qué tipo de raíces tiene la ecuación?;Raíces complejas;Raíces reales e iguales;Raíces reales y diferentes;No tiene raíces;C
7;Si el discriminante Δ = 0, ¿qué tipo de raíces tiene la ecuación?;Raíces reales y diferentes;Raíces reales e iguales;Raíces complejas;Raíces imaginarias;B
8;¿Qué representa el discriminante en una ecuación de segundo grado?;b² - 4ac;b² + 4ac;2b - ac;4ac - b²;A
9;Según el teorema de Cardano-Viete, ¿cuál es la suma de las raíces x₁ + x₂?;#¿NOMBRE?;c/a;b/a;-c/a;A
10;Según el teorema de Cardano-Viete, ¿cuál es el producto de las raíces x₁ · x₂?;#¿NOMBRE?;c/a;b/a;-c/a;B
11;¿Cuál es la solución de x² - 4 = 0?;x = ±2;x = ±4;x = 2;x = 4;A
12;¿Cuál es una de las raíces de x² + x = 0?;x = 1;x = -1;x = 0;x = 2;C
13;¿Cuál es la primera raíz de la ecuación x² - 2x - 35 = 0?;x = 7;x = -7;x = 5;x = -5;A
14;Al resolver 2x² - 8x + 6 = 0, ¿cuál es una de las raíces?;x = 1;x = 2;x = 4;x = 0;A
15;¿Cuál es el discriminante de la ecuación x² - 2x + 1 = 0?;Δ = 0;Δ = 4;Δ = -4;Δ = 1;A
16;Para la ecuación 4x² - 20x + 25 = 0, ¿cuál es el valor del discriminante?;Δ = 0;Δ = 100;Δ = 25;Δ = -25;A
17;Si una ecuación tiene raíces 3 y -5, ¿cuál es su suma?;-2;2;8;-8;A
18;Si las raíces de una ecuación son 2 y 6, ¿cuál es su producto?;8;12;4;-12;B
19;¿Cuál es la ecuación si las raíces son -1 y 3?;x² + 2x - 3 = 0;x² - 2x - 3 = 0;x² - 2x + 3 = 0;x² + 2x + 3 = 0;B
20;Al completar cuadrados en x² - 2x = 3, ¿qué se suma a ambos miembros?;1;2;4;9;A
21;¿Cuál es una raíz de 4x² - 9 = 0?;x = 3/2;x = 2/3;x = 3;x = 9/4;A
22;En la ecuación 3x² - 5x - 12 = 0, ¿cuál es el valor de a?;a = 3;a = -5;a = -12;a = 1;A
23;Para que una ecuación tenga raíces iguales, el discriminante debe ser igual a;0;1;-1;Cualquier número positivo;A
24;¿Cuál es una raíz de 4x² + 12x + 9 = 0?;x = -3/2;x = 3/2;x = -2/3;x = 2;A
25;¿Cuál es la solución positiva de x² - 225 = 0?;15;25;0;-15;A
26;En x² - 81 = 0, ¿cuál es una de las raíces?;x = 9;x = 3;x = 1;x = 81;A
27;Para 3x² - 75 = 0, ¿cuál es una raíz?;x = 5;x = 25;x = -25;x = 0;A
28;¿Cuál es una raíz de 3x² - 5x + 2 = 0?;x = 1;x = 2/3;x = 5/3;x = 1/3;A
29;Al resolver 4x² - 13x + 3 = 0, ¿cuál es una solución?;x = 3;x = 1;x = 1/3;x = 2;A
30;Al resolver 3x² - 10x + 3 = 0, ¿cuál es una raíz?;x = 3;x = 1/3;x = -1/3;x = 2;A
31;Si el producto de las raíces es 24 y k = 2 en x² - (k + 3)x + k = 0, ¿cuál es el valor correcto de k?;k = 6;k = 8;k = 4;k = 10;B
32;Para que 4x² + 20x + k = 0 tenga raíces iguales, k debe ser;k = 25;k = 16;k = 4;k = -1;A
33;¿Cuál es una raíz de (3x - 2)(3x + 2) = 77?;x = 3;x = -3;x = 1;x = 0;B
34;En 3x² - 2x - 1 = 0, ¿cuál es una solución?;x = 1;x = -1/3;x = 1/3;x = 2;A
35;Al resolver x⁴ - 9x² + 2 = 0 con sustitución m = x², la ecuación se transforma en;m² - 9m + 2 = 0;m² + 9m + 2 = 0;m² - 9m - 2 = 0;m² + 9m - 2 = 0;A
36;¿Cuál es el primer paso para resolver ecuaciones incompletas ax² + bx = 0?;Factorizar el término común;Aplicar la fórmula general;Completar cuadrados;Elevar al cuadrado;A
37;Al resolver una ecuación fraccionaria, ¿qué se debe hacer primero?;Eliminar denominadores;Factorizar;Aplicar fórmula de Carnot;Transponer términos;A
38;En el método de completar cuadrados, ¿qué se suma a ambos miembros?;El cuadrado de la mitad del coeficiente de x;El doble del coeficiente de x;La mitad del coeficiente de x;El coeficiente de x al cuadrado;A
39;Si Δ < 0, ¿qué tipo de raíces tiene la ecuación?;Raíces complejas;Raíces reales;Raíces iguales;Raíces racionales;A
40;Para 2x² + 3x² - 4 = 28, simplificando se obtiene;x² - 4 = 28;x² = 28;2x² = 28;3x² = 28;A
41;¿Cuál es la ecuación si S = -7 y P = 2?;x² + 7x + 2 = 0;x² - 7x + 2 = 0;x² + 7x - 2 = 0;x² - 7x - 2 = 0;A
42;Para que x² + mx = 0 tenga una raíz el doble de la otra, m debe valer;m = -6;m = 6;m = ±8;m = -12;C
43;Si las raíces son recíprocas en 7x² + 9x + a = 0, entonces a =;a = 7;a = 8;a = 9;a = -7;A
44;Al resolver 4x² - 12x + 9 = 0, las raíces son;Iguales;Diferentes;Complejas;Irracionales;A
45;¿Cuál es el método más directo para ax² + c = 0?;Despejar x²;Factorizar;Fórmula general;Completar cuadrados;A
46;En una ecuación literal 3x² - 4mx + 2nx = mn, ¿cuál es el coeficiente de x?;-4m + 2n;3;mn;-4m;A
47;Si x² - 5x + 13 = -x, transponiéndo términos se obtiene;x² - 4x + 13 = 0;x² - 6x + 13 = 0;x² + 5x + 13 = 0;x² - 5x - 13 = 0;A
48;Para resolver ecuaciones irracionales, ¿qué operación se aplica?;Elevar al índice de la raíz;Multiplicar por el denominador;Factorizar;Aplicar fórmula;A
49;En (x + 3)(x - 3) = -9, desarrollando se obtiene;x² - 9 = -9;x² + 9 = -9;x² - 6 = -9;x² = -9;A
50;Al resolver 3x² - x² + 5 = 12, simplificando resulta;2x² = 7;4x² = 7;x² = 7;3x² = 7;A
51;Si en una ecuación a = 2, b = -8, c = 6, el discriminante es;Δ = 16;Δ = 64;Δ = 36;Δ = 4;A
