id;question;option_a;option_b;option_c;option_d;answer_letter
1;¿Qué ion caracteriza a los hidróxidos?;OH⁺;O²⁻;OH⁻;H⁺;C
2;¿Cuál es la fórmula del hidróxido ferroso según nomenclatura tradicional?;Fe(OH)₃;FeOH;Fe(OH)₂;Fe₂(OH)₃;C
3;¿Qué número de oxidación tiene el hidrógeno en los ácidos hidrácidos?;-1;2;0;1;D
4;¿Cuál es el producto de la reacción CaO + H₂O?;CaH₂;Ca(OH)₂;CaO₂;CaOH;B
5;¿Qué sufijo se utiliza en nomenclatura tradicional para el mayor número de oxidación de un metal en hidróxidos?;-oso;-ato;-ico;-ito;C
6;¿Cuál es la fórmula general de los hidróxidos?;M(OH)ₙ;MOₙ;MHₙ;M₂Oₙ;A
7;¿Qué grupos de la tabla periódica forman ácidos hidrácidos con hidrógeno?;IA y IIA;VIA y VIIA;IIIA y IVA;IB y IIB;B
8;¿Cuál es el nombre sistemático de Fe(OH)₃?;Hidróxido de hierro;Hidróxido férrico;Trihidróxido de hierro;Hidróxido de hierro (II);C
9;¿Qué se obtiene al reaccionar un óxido básico con agua?;Un ácido;Una sal;Un hidróxido;Un anhídrido;C
10;¿Cuál es el subíndice del hidrógeno en un oxácido cuando el no metal tiene número de oxidación par?;1;3;2;4;C
11;¿Qué prefijo se usa para indicar 1 molécula de agua en ácidos polihidratados?;Orto;Piro;Meta;Di;C
12;¿Cuál es la fórmula del ácido clorhídrico?;HClO;H₂Cl;HCl;HClO₂;C
13;¿Qué tipo de compuestos son los hidróxidos también llamados?;Ácidos y sales;Bases o álcalis;Óxidos y peróxidos;Anhídridos;B
14;¿Cuál es el nombre tradicional de Ca(OH)₂?;Hidróxido cálcico;Hidróxido de calcio;Dihidróxido de calcio;Hidróxido calcioso;B
15;¿Qué iones liberan los ácidos en disolución acuosa?;OH⁻ o O²⁻;Na⁺ o K⁺;H⁺ o H₃O⁺;Cl⁻ o Br⁻;C
16;¿Cuál es la fórmula del ácido sulfhídrico?;H₂SO₄;HS;H₂S;H₂SO₃;C
17;¿Qué prefijo se utiliza para el mínimo número de oxidación en nomenclatura tradicional de oxácidos?;Per-...-ico;-oso;Hipo-...-oso;-ico;C
18;¿Cuántas moléculas de agua reaccionan con el anhídrido en el ácido pirofosfórico?;1;3;4;2;D
19;¿Cuál es el subíndice del oxígeno en HNO₂ si el nitrógeno tiene número de oxidación +3?;3;4;1;2;D
20;¿Qué se forma al reaccionar CO₂ + H₂O?;H₂CO₂;HCO₃;H₂CO₃;H₄CO₄;C
21;¿Cuál es el nombre Stock de Mn(OH)₂?;Hidróxido de manganeso;Hidróxido de manganeso (II);Hidróxido manganoso;Dihidróxido de manganeso;B
22;¿Qué sufijo reciben los elementos que forman un solo ácido en nomenclatura tradicional?;-oso;-ato;-ico;-ito;C
23;¿Cuál es la fórmula del ácido fosfórico?;HPO₃;H₄P₂O₇;H₃PO₄;H₃PO₃;C
